Email,Team ID
nwo@lionstate.edu,37
nhu@lionstate.edu,48
rri@lionstate.edu,35
hlo@lionstate.edu,38
dsa@lionstate.edu,5
fro@lionstate.edu,2
dco@lionstate.edu,23
gbe@lionstate.edu,30
sco@lionstate.edu,42
wca@lionstate.edu,25
lto@lionstate.edu,33
red@lionstate.edu,13
bbu@lionstate.edu,11
jma@lionstate.edu,52
wpe@lionstate.edu,3
kmy@lionstate.edu,43
dwh@lionstate.edu,54
bmo@lionstate.edu,28
hph@lionstate.edu,16
rco@lionstate.edu,24
fpr@lionstate.edu,47
mhi@lionstate.edu,44
tje@lionstate.edu,4
aad@lionstate.edu,40
abr@lionstate.edu,6
rpe@lionstate.edu,26
cgo@lionstate.edu,53
bro@lionstate.edu,17
swi@lionstate.edu,15
kho@lionstate.edu,19
jca@lionstate.edu,36
cyo@lionstate.edu,41
vhi@lionstate.edu,50
bha@lionstate.edu,45
are@lionstate.edu,12
ema@lionstate.edu,49
mpa@lionstate.edu,14
bsu@lionstate.edu,29
ase@lionstate.edu,21
cja@lionstate.edu,18
cpe@lionstate.edu,39
rfu@lionstate.edu,46
lga@lionstate.edu,51
wmi@lionstate.edu,20
kbo@lionstate.edu,27
ffo@lionstate.edu,10
rpa@lionstate.edu,31
kni@lionstate.edu,34
rsu@lionstate.edu,1
rsi@lionstate.edu,32
mha@lionstate.edu,7
jwo@lionstate.edu,8
rre@lionstate.edu,9
mam@lionstate.edu,22
