nwo@lionstate.edu,as,Dr Nann Wood,56,M,"256, Building 18",Computer Science and Engineering,Head,1
nhu@lionstate.edu,yzpp5f1t,Dr Norton Hughes,48,F,"212, Building 18",Computer Science and Engineering,Professor,0
rri@lionstate.edu,1d7gjq5g,Dr Russell Richardson,53,M,"168, Building 7",Computer Science,Head,0
hlo@lionstate.edu,rq02mf0g,Dr Halsey Lopez,52,F,"289, Building 7",Computer Science,Professor,0
dsa@lionstate.edu,duf07wf7,Dr Dikembe Sanchez,47,M,"232, Building 7",Computer Science,Professor,0
fro@lionstate.edu,5p2ex4mp,Dr Freowine Rogers,47,M,"105, Building 7",Computer Science,Professor,0
dco@lionstate.edu,ususknvt,Dr Deshawn Cox,51,M,"187, Building 7",Computer Science,Professor,0
gbe@lionstate.edu,bg3kzhnv,Dr Gil Bell,52,M,"284, Building 7",Computer Science,Professor,0
sco@lionstate.edu,4oioidlt,Dr Sheldon Cook,56,M,"253, Building 7",Computer Science,Professor,0
wca@lionstate.edu,gvaocvt1,Dr Walker Campbell,58,M,"126, Building 7",Computer Science,Professor,0
lto@lionstate.edu,c2hp2dd4,Dr Luca Torres,57,F,"188, Building 7",Computer Science,Professor,0
red@lionstate.edu,yqh493g3,Dr Royce Edwards,48,M,"261, Building 7",Computer Science,Professor,0
bbu@lionstate.edu,wgqpqh2t,Dr Blas Butler,44,F,"228, Building 7",Computer Science,Professor,0
jma@lionstate.edu,wmb17np1,Dr Jerred Martinez,55,F,"239, Building 5",Computer Engineering,Head,0
wpe@lionstate.edu,jqy2dgis,Dr Wincent Peterson,60,F,"160, Building 5",Computer Engineering,Professor,0
kmy@lionstate.edu,v9xe9cd3,Dr Kofi Myers,46,M,"222, Building 5",Computer Engineering,Professor,0
dwh@lionstate.edu,6v7gf9s0,Dr Derwent White,59,F,"138, Building 5",Computer Engineering,Professor,0
bmo@lionstate.edu,0p3ipgfz,Dr Beauregard Moore,59,M,"107, Building 5",Computer Engineering,Professor,0
hph@lionstate.edu,tqsaz0vp,Dr Halliwell Phillips,43,M,"124, Building 5",Computer Engineering,Professor,0
rco@lionstate.edu,sx0mkxzn,Dr Rich Collins,49,M,"142, Building 5",Computer Engineering,Professor,0
fpr@lionstate.edu,jtoamzax,Dr Ford Price,56,F,"189, Building 5",Computer Engineering,Professor,0
mhi@lionstate.edu,m18o3u41,Dr Merle Hill,60,M,"180, Building 13",Electrical and Electronics Engineering,Head,0
tje@lionstate.edu,jxxciuc9,Dr Thatcher Jenkins,52,M,"296, Building 13",Electrical and Electronics Engineering,Professor,0
aad@lionstate.edu,dc06u9nm,Dr Arlie Adams,60,F,"131, Building 13",Electrical and Electronics Engineering,Professor,0
abr@lionstate.edu,s6ali6hq,Dr Aspen Brown,49,F,"276, Building 13",Electrical and Electronics Engineering,Professor,0
rpe@lionstate.edu,44j06cnw,Dr Raimy Perez,53,M,"152, Building 13",Electrical and Electronics Engineering,Professor,0
cgo@lionstate.edu,diy0nmdr,Dr Cassidy Gomez,44,F,"149, Building 13",Electrical and Electronics Engineering,Professor,0
bro@lionstate.edu,6cbbt7ot,Dr Baldwin Roberts,42,F,"293, Building 13",Electrical and Electronics Engineering,Professor,0
swi@lionstate.edu,29cu0i4q,Dr Searles Williams,53,F,"219, Building 13",Electrical and Electronics Engineering,Professor,0
kho@lionstate.edu,a4827x3j,Dr Karol Hodgson,46,M,"144, Building 13",Electrical and Electronics Engineering,Professor,0
jca@lionstate.edu,55ycoqop,Dr Jackie Carpenter,47,F,"181, Building 12",Mathematics,Head,0
cyo@lionstate.edu,l9q4tta8,Dr Casimiro Young,41,F,"277, Building 12",Mathematics,Professor,0
vhi@lionstate.edu,tslak1a6,Dr Virginia Hines,45,F,"268, Building 12",Mathematics,Professor,0
bha@lionstate.edu,d1uz3aya,Dr Bethel Hawkins,44,M,"294, Building 12",Mathematics,Professor,0
are@lionstate.edu,mpe2olmx,Dr Addai Reyes,48,F,"174, Building 8",Physics,Head,0
ema@lionstate.edu,ebtz2fob,Dr Erasmo Martin,50,F,"127, Building 8",Physics,Professor,0
mpa@lionstate.edu,2koidnt2,Dr Mikelle Parry,41,M,"182, Building 8",Physics,Professor,0
bsu@lionstate.edu,845bd92l,Dr Buddy Sutherland,57,M,"175, Building 8",Physics,Professor,0
