aly8942@lionstate.edu,as,Alisa Lynch,19,F,CHEM,78 South Brewery Ave. ,62901,1
amu1270@lionstate.edu,as,Alisha Murray,21,F,CMPSC,639 Princeton Rd. ,46376,1
aki5907@lionstate.edu,p0ulbn26,Alice Kiehn,20,M,PHYS,8985 Cambridge Ave. ,30529,0
ash5820@lionstate.edu,06e84eor,Anastasia Shields,18,F,CSE,55 Hall St. ,72571,0
ale8219@lionstate.edu,ev4n7hoh,Alyce Leuschke Jr.,21,M,PHYS,232 W. Homewood Ave. ,80104,0
ale8939@lionstate.edu,oqt6byzj,Althea Leuschke,21,F,PHYS,608 North Addison St. ,91042,0
ahi5324@lionstate.edu,d797xc1r,Alysa Hintz,20,F,EE,7764 Union Avenue ,52041,0
abe4600@lionstate.edu,gr1wwq45,Alisha Beier,21,M,CSE,91 S. Gartner Street ,33162,0
akr4205@lionstate.edu,uy8t28xc,Anastacio Krajcik,18,F,DS,7195 North Canterbury Circle ,86426,0
ato9019@lionstate.edu,dfo34diu,Alfonso Torp,18,F,PHYS,963 Court Road ,80820,0
asc2712@lionstate.edu,l55ah9nv,Alexis Schulist,22,M,CMPEN,9599 La Sierra St. ,62943,0
aha9325@lionstate.edu,a1uqkqum,Alicia Harber,22,F,MATH,83 Corona Street ,62684,0
abo7856@lionstate.edu,h18e8b5s,Amiya Bogisich II,18,M,MATH,361 E. Sierra Street ,47360,0
atr9605@lionstate.edu,wxl0jmfp,Alfredo Trantow,20,F,CMPSC,7450 West Manchester Street ,46121,0
aok9861@lionstate.edu,o81zf7vv,Alysson Okuneva,20,F,MATH,863 Stillwater Road ,62824,0
ali8897@lionstate.edu,4n61e74y,Anabel Littel,22,M,EE,798 North Euclid Drive ,30277,0
abe6138@lionstate.edu,frmyglmo,Alycia Berge,20,F,EE,8687 N. Sleepy Hollow Court ,50244,0
ale7189@lionstate.edu,ougfoqn0,Ali Ledner,19,F,STAT,608 North Addison St. ,71602,0
aja3132@lionstate.edu,nthuiyec,Angela Jast Jr.,19,M,STAT,141 Gulf Rd. ,33847,0
aro5704@lionstate.edu,5h880la6,Amely Rohan,18,F,PHYS,18 Lakeview Street ,39834,0
amo7945@lionstate.edu,wd5xogip,Amaya Mosciski,19,F,CMPSC,7764 Union Avenue ,32927,0
ast1122@lionstate.edu,93fj0cwc,Alexys Stanton,21,M,EE,9659 Rosewood Drive ,61870,0
azu5256@lionstate.edu,mg8nk8d5,Allene Zulauf,22,M,ECON,358 Marvon Ave. ,96058,0
abo9166@lionstate.edu,gjgm1fqt,Alysa Bosco Sr.,19,F,EE,7529 Old Sunset Road ,62884,0
apa5949@lionstate.edu,uh69s5qo,Amie Pacocha,18,M,ECON,608 North Addison St. ,60932,0
